observation_date,Unrate_log
4/1/74,0.707570176
5/1/74,0.707570176
6/1/74,0.73239376
7/1/74,0.740362689
8/1/74,0.740362689
9/1/74,0.770852012
10/1/74,0.77815125
11/1/74,0.819543936
12/1/74,0.857332496
1/1/75,0.908485019
2/1/75,0.908485019
3/1/75,0.934498451
4/1/75,0.944482672
5/1/75,0.954242509
6/1/75,0.944482672
7/1/75,0.934498451
8/1/75,0.924279286
9/1/75,0.924279286
10/1/75,0.924279286
11/1/75,0.919078092
12/1/75,0.913813852
1/1/76,0.897627091
2/1/76,0.886490725
3/1/76,0.880813592
4/1/76,0.886490725
5/1/76,0.86923172
6/1/76,0.880813592
7/1/76,0.892094603
8/1/76,0.892094603
9/1/76,0.880813592
10/1/76,0.886490725
11/1/76,0.892094603
12/1/76,0.892094603
1/1/77,0.875061263
2/1/77,0.880813592
3/1/77,0.86923172
4/1/77,0.857332496
5/1/77,0.84509804
6/1/77,0.857332496
7/1/77,0.838849091
8/1/77,0.84509804
9/1/77,0.832508913
10/1/77,0.832508913
11/1/77,0.832508913
12/1/77,0.806179974
1/1/78,0.806179974
2/1/78,0.799340549
3/1/78,0.799340549
4/1/78,0.785329835
5/1/78,0.77815125
6/1/78,0.770852012
7/1/78,0.792391689
8/1/78,0.770852012
9/1/78,0.77815125
10/1/78,0.763427994
11/1/78,0.770852012
12/1/78,0.77815125
1/1/79,0.770852012
2/1/79,0.770852012
3/1/79,0.763427994
4/1/79,0.763427994
5/1/79,0.748188027
6/1/79,0.755874856
7/1/79,0.755874856
8/1/79,0.77815125
9/1/79,0.770852012
10/1/79,0.77815125
11/1/79,0.770852012
12/1/79,0.77815125
1/1/80,0.799340549
2/1/80,0.799340549
3/1/80,0.799340549
4/1/80,0.838849091
5/1/80,0.875061263
6/1/80,0.880813592
7/1/80,0.892094603
8/1/80,0.886490725
9/1/80,0.875061263
10/1/80,0.875061263
11/1/80,0.875061263
12/1/80,0.857332496
1/1/81,0.875061263
2/1/81,0.86923172
3/1/81,0.86923172
4/1/81,0.857332496
5/1/81,0.875061263
6/1/81,0.875061263
7/1/81,0.857332496
8/1/81,0.86923172
9/1/81,0.880813592
10/1/81,0.897627091
