Age,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
54,68765,10967,83508,39835,506213,73512,56623,13429,7488,269928,132043,19222,20864,184169,94208,44455,40189,63920,64705,22211,87948,99587,152709,80125,40874,87818,15681,25638,36160,22451,133416,28833,280788,134532,10098,177457,52192,54809,197541,16116,65761,11879,91286,334580,30400,10493,118506,98771,28740,87004,8708
55,69109,11010,82766,39848,498714,73348,55321,13204,7440,268456,131001,19259,21197,180914,93121,44098,40439,62994,64750,22067,86021,97635,151656,78618,41133,87475,15777,25442,36158,22157,130767,28967,276418,133204,9954,175657,52070,55660,195247,16048,65685,11762,91333,330019,30345,10439,116140,98429,28700,85541,8920
56,66914,10494,80021,38729,481965,70797,53309,12799,7238,259341,125656,19171,20410,174566,89819,42772,39000,60791,63210,21449,82317,93983,145929,75382,39710,83887,15589,25021,35277,20970,125296,28435,266541,129482,9893,168062,50458,54705,187905,15508,63803,11656,88546,316559,29189,10090,111598,96056,27824,82232,8727
57,66176,10872,80071,38522,479215,69860,52156,12388,7283,258435,123424,19244,20281,173242,88832,42973,38756,60954,63052,21178,81330,92998,144271,74297,39904,82598,15582,24668,35341,20751,122795,28403,265391,127846,9789,166720,50350,55955,186271,15302,64234,11524,88228,311478,28805,10119,109983,96199,28304,81982,8734
58,64015,10159,77648,37831,454911,67778,49647,11938,7069,250303,118331,18690,19907,164099,85640,41463,37302,58839,60248,21058,77210,88881,138964,71648,38169,80023,15469,23940,33947,19858,115391,27638,251153,124432,9471,159761,48487,55881,179888,14500,62516,11374,85939,295731,27970,9855,105790,93534,27690,79094,8482
59,61405,9751,75703,36443,434630,65999,47417,11797,6872,242709,113275,18559,19754,157967,82508,40267,35738,56380,56915,20462,74746,85672,133681,69172,36045,76592,15342,23103,32721,19145,110426,27053,241288,120470,9188,153799,46490,55202,174278,13859,60747,11006,81975,284197,26815,9619,101419,91016,27353,75901,8226
60,59499,9144,73747,35334,412870,63006,44913,11340,6525,236301,108347,18148,19063,151424,79619,39577,34509,55274,54912,19808,70911,82347,130083,67271,35097,74224,14732,22664,31841,18377,105404,26361,233059,116926,8940,149689,44551,53417,167853,13203,59455,10637,79182,268791,25446,9289,96400,86538,27004,73985,7779
61,57768,8468,73077,34518,399791,60575,42678,11098,6398,234988,106078,17372,18398,147055,76189,37872,33250,53465,53605,19104,69169,79920,125897,64142,34481,72232,14281,21715,31228,17503,101619,25619,227709,113673,8301,144502,43459,51928,160834,12647,58822,10197,77684,259468,24289,9121,93700,83823,26562,71011,7459
62,57245,8130,73188,34085,396435,58684,41462,10886,6391,233754,104472,17867,17845,141962,74050,36167,31756,52191,51900,18705,66525,77363,120580,61196,33868,69924,13719,20857,31555,16902,99363,25424,225527,111662,7778,139942,42459,50865,154804,12402,58322,9865,76264,252960,23449,8677,92052,81865,26213,68073,7106
63,56580,7510,72616,34222,376547,56320,40319,10969,6276,233599,102288,16978,17467,135498,72389,34685,30502,51786,49882,18594,64780,75949,117090,58207,32563,68367,13193,20050,30947,16821,95492,24901,216236,110597,7405,136623,41359,49273,151588,11983,57836,9417,76205,243262,22548,8614,90010,79269,26183,65439,6745
